time,growthRate,chemical0,chemical1,chemical2,chemical3,chemical4,chemical5,chemical6,chemical7,chemical8,chemical9,chemical10,chemical11,chemical12,chemical13,chemical14,chemical15,chemical16,chemical17,chemical18,chemical19,chemical20,chemical21,chemical22,chemical23,chemical24,chemical25,chemical26,chemical27,chemical28,chemical29,chemical30,chemical31,chemical32,chemical33,chemical34,chemical35,chemical36,chemical37,chemical38,chemical39,chemical40,chemical41,chemical42,chemical43,chemical44,chemical45,chemical46,chemical47,chemical48,chemical49,chemical50,chemical51,chemical52,chemical53,chemical54,chemical55,chemical56,chemical57,chemical58,chemical59,chemical60,chemical61,chemical62,chemical63,chemical64,chemical65,chemical66,chemical67,chemical68,chemical69,chemical70,chemical71,chemical72,chemical73,chemical74,chemical75,chemical76,chemical77,chemical78,chemical79,chemical80,chemical81,chemical82,chemical83,chemical84,chemical85,chemical86,chemical87,chemical88,chemical89,chemical90,chemical91,chemical92,chemical93,chemical94,chemical95,chemical96,chemical97,chemical98,chemical99
0.0,0.0,0.005518761249984317,0.005582542403888195,0.00039066595493482387,0.01051242674596581,0.01117136373148605,0.018426961446720642,0.016973162401054516,0.003592664348666677,0.01590318731287536,0.015234566094040641,0.013442742771609614,0.006882015580755817,0.017840989714715916,0.01612911606683832,0.0075089728197144075,0.009308983136381236,0.009173440475134242,0.007525997651748243,0.017243531769212152,0.016475021868166653,0.0006503425336530523,0.009522204657110045,0.014674659972386836,0.004493515611392973,0.002871822293357493,0.002343672305458128,0.01851682045381552,0.00673341630199463,0.009662552178185983,0.01878061098069323,0.0044397056987811505,0.012842975130646285,0.003938461026751168,0.008352680420215905,0.008670261917387725,0.00740538048194806,0.014994547001660452,0.015308281184402028,0.011595782702611239,0.013012106783243186,0.013736944908564967,0.0009874245431420881,0.01468061339330486,0.012589825834810421,6.999654451926324e-05,0.013334380383022133,0.013389506131518965,0.00030041135338402164,0.012283204065679483,0.0021464333377930293,0.013701820670011066,0.009435858173675985,0.01774239723700256,0.011112012979822549,0.013249149603309212,0.015180945637237186,0.01643866293324756,0.010760123950836342,0.014172245166994231,0.014588057691026293,0.0007157794745732585,0.01797144873420374,0.005320195770055599,0.01292362429295736,0.0032070495995570538,0.013108193451050621,0.0071249433797528836,0.004453586850642561,0.00639005589927749,0.002033568814220146,0.002950597820471169,0.0011162465439717869,0.01368663642470642,0.012189679625718423,0.017795934519902808,0.01670331798390171,0.015282773168429973,0.004639231367390714,0.0012280027614442264,0.004733470282897516,0.010284701642245675,0.011147421382102271,0.016943132215846528,0.015318973198782936,0.011809135699197696,0.009688191683415663,0.013943066488845123,0.005507370697988655,0.013544089508532968,0.017655154505816176,0.006999079711366735,0.01256264063987337,0.009973932147411758,0.0002804541958986261,0.012101926140839398,0.0003581204765031672,0.003444094173364029,0.01588657615381358,0.0024002100943923328,0.013030464760147055
0.0,0.0034718979535921513,0.005523643949793296,0.005589145340232031,0.00039177938553497366,0.010529464674820013,0.011179530015909492,0.018426869684723058,0.016938895277190967,0.003597460857832536,0.015903926095055313,0.015244700859971315,0.013436416662227344,0.006886761632372254,0.017856499592348904,0.016131074405346096,0.007515211491653934,0.009295154242656662,0.009176841007746689,0.007523020284064561,0.017242339978063834,0.016466414546606918,0.0006499677266439119,0.009531630483908798,0.014660331489685817,0.004495572340228962,0.0028705492768306288,0.0023435653960755787,0.01848788930408307,0.0067380601956903135,0.009662222856736923,0.018767816340904138,0.00444424619070156,0.012883932852651348,0.003940344957103005,0.00836593013774491,0.008672942296665728,0.00740970921894126,0.015006335769515223,0.015338142766948249,0.011585124459927178,0.013012517138597132,0.013724693793516254,0.0009893890708820336,0.014697091345672833,0.01259141151964964,6.998658877369201e-05,0.01337596875353283,0.013375293101081792,0.000300898627603441,0.012273844336199184,0.00214827080412858,0.013701770189445909,0.009433603502794546,0.017712532381367902,0.011117859422387678,0.013269857708127272,0.015184216637548828,0.01647441486964011,0.01074182005776996,0.01418557697380984,0.014581069294983009,0.0007157681528468604,0.01795954261344731,0.0053216426349984094,0.012902969386073245,0.0032073646429512043,0.01308762192922667,0.007123461266364817,0.004452508184195354,0.0063821584838963654,0.0020299030502266683,0.0029495150971364094,0.0011146277483289673,0.013687122369076916,0.012200219965264623,0.017781979301164087,0.01667070385667197,0.015302061155170122,0.004639653064360043,0.0012286707169588873,0.004729714653912754,0.010268910003096116,0.011135758397122442,0.016972854481549622,0.015286197207055069,0.011811970639596395,0.009677778506707065,0.013959863198352542,0.0055191907435300095,0.013522063448213982,0.01764076400874722,0.006994647506892063,0.01256002151966008,0.009987916693829374,0.0002808691747098315,0.01209072065078131,0.00035722187934424294,0.003444467895316069,0.015874158587189855,0.0023996730010026573,0.01305619402238318
100.0,0.2215048605182648,0.0006669107654044486,0.11875405095019599,3.13988759990364e-05,1.9064272743568374e-05,1.084635694814492e-05,5.008960100484093e-06,5.0018667145770985e-06,2.0768983367772416e-05,6.043705262073258e-05,0.004381432627707494,0.008536483501635111,5.455910291053089e-06,0.0027074098716865762,2.04559855508881e-06,2.124762949575777e-05,4.0977272944518194e-05,6.443812137642744e-06,1.5113956270512903e-05,1.730431694840397e-05,0.01183613147336674,6.4568691522126754e-06,0.003353129980081602,5.254512657469518e-06,5.244598760100945e-05,2.129530440093543e-06,8.305367619244888e-07,1.4413640454454817e-06,0.002005918273707376,3.0064530979987066e-05,2.618137543220334e-06,5.684913571111866e-05,0.00024335000234687213,0.00016249015877464656,0.0009000078559835539,0.008123369798363173,2.9678324836194115e-06,9.38257997253543e-06,0.01279506539805237,1.421065291628102e-06,0.0002038986288195227,9.776814268001531e-05,4.61945366180657e-06,0.006732454793503295,6.3270795839757516e-06,0.00029049112487400755,0.004040658816628663,6.718199422904513e-06,4.915264413378914e-07,2.8424362836737746e-06,7.178791898562454e-07,0.02633076803570348,3.5602084396283126e-06,3.7324623298044885e-06,2.217133185914415e-06,0.0004752492162860125,0.000591626725196007,2.9846065648778082e-05,1.462849529089851e-06,0.1425729973826182,8.471042851124198e-06,3.7541451934567195e-07,0.2518337992936787,6.173826508690279e-06,7.434231090351178e-07,0.00012536575774858513,1.3167178276560622e-06,4.915454097564057e-06,0.000301408710165511,1.1242882801732841e-06,2.828444339539084e-07,2.0302115553971057e-06,1.0485214382059453e-07,0.0011221314827395544,0.0006138316542146766,1.0356556963896345e-05,0.0001716809656433573,3.1900085938042574e-05,1.412135870983575e-05,3.940802678759132e-06,7.331116335084436e-07,1.502859489038025e-05,7.769721044821495e-05,0.003907937753580482,7.436056021468839e-07,7.3187186577600386e-06,0.0001243419546473679,2.067556700380772e-05,0.32070398670058897,0.00010597973971733606,3.197801578047527e-05,0.006076386417189007,1.1742875691195276e-05,0.014105881387228911,0.000313686758211997,3.0090437972126998e-05,2.919425904843028e-08,8.746431024985374e-06,0.04382973880679911,5.2670174279413955e-05,2.3356035876496843e-05
200.0,0.17209046340936363,3.3449008990245265e-07,7.650140150492038e-07,1.415001379273665e-12,1.0837172852190491e-08,3.3367196303121525e-13,1.4540206935431966e-13,1.8542781083055653e-13,1.183664701238678e-12,1.8069162252593251e-12,1.3870388486494856e-10,1.0720986577569005e-09,1.5892998686225852e-13,8.753454236480263e-10,5.953421953634773e-14,6.540901893326926e-10,1.2380575459766392e-12,3.5523162671419755e-06,4.732761143915466e-13,1.6435457823570809e-12,9.742203780395174e-09,1.9748150124329342e-13,1.4150670970919283e-10,2.2010132561072753e-13,1.1946090363335783e-10,1.1923040488537919e-08,2.1854783843397037e-07,4.180736769745299e-14,2.175947890413265e-10,1.6114505224809447e-06,7.631909283042098e-14,2.727850649012587e-12,1.1337015925472779e-11,0.31673122411362564,2.7496219553052386e-11,1.1569942423115982e-09,1.0435953027336305e-13,2.930808748031737e-13,5.465967238012288e-10,4.165075671479504e-14,0.00013538368477184504,3.436828232801463e-11,1.501018984218391e-13,2.1933022150844476e-10,4.635660489859616e-12,1.8592128062320037e-11,1.2587538715916942e-10,2.7029222822054467e-07,1.9746272614002998e-09,8.645643641358316e-14,5.907849507435888e-13,1.7266773542213776e-09,1.0357893174741831e-13,1.953581622300152e-13,6.441546403717418e-14,1.5417602908649817e-11,3.4696521763018715e-11,8.913499226243305e-13,4.538482496579166e-14,0.04015814401867496,2.5071541714165564e-13,9.335520116433286e-14,0.3118017216395999,2.4022214662151593e-13,2.6300017470090167e-14,3.788480789746267e-12,3.819009750455985e-14,2.1549068127419123e-13,0.023261118440856515,8.612248793413531e-14,8.289762342254628e-15,5.983082136235925e-14,3.04196144756193e-15,7.683423959117954e-11,6.914316590896872e-06,3.048979891760378e-13,5.341173241645349e-12,1.6358153137480238e-11,4.2774382373080837e-13,1.2224864803481971e-13,2.184496853637749e-14,5.448117391584721e-13,0.024442023359142265,1.980515375148926e-08,2.1719588980421882e-14,2.235263902289047e-13,5.030147066222708e-09,6.483398750988016e-13,0.24627384268999675,1.052566953251523e-11,8.496762962704267e-06,0.0008998009674112911,3.7155114408806986e-13,4.849418485936042e-10,0.035816837775956574,7.971960998867414e-12,8.49075487815981e-16,2.648418570245305e-13,0.0004576730396646321,1.619660341667083e-12,7.930791932820948e-13
300.0,0.14582975817197186,3.0248474431232262e-05,2.5048288931689205e-14,3.2454974743762654e-20,1.3661281239435738e-07,1.180544731970161e-16,8.118753155228531e-19,1.9309432849555302e-19,1.7690476610632815e-19,4.1332769658916855e-20,6.762466540580182e-17,9.827043471957839e-15,1.9663193374518747e-19,1.587847438840246e-13,1.3618341925404178e-21,9.357835050020634e-08,2.832026519625178e-20,0.09439482489194044,1.0826076031783179e-20,6.885493185739973e-13,2.4715345021545683e-12,8.271314734823814e-18,4.150000568785072e-10,1.631336223023621e-15,4.204483827350874e-18,6.5347613310545406e-06,0.399517001129156,9.563333643709906e-22,2.1123986466570836e-15,5.6923131228687916e-08,1.7462045776591354e-21,1.5690197380053542e-11,1.823794390379086e-18,0.1877471022904514,7.206869479094233e-17,7.835150204858772e-16,3.575059350057543e-17,6.713543816773506e-21,1.4881171271882136e-11,9.52771561885328e-22,1.9170547374485636e-10,1.014696620023432e-18,3.433553578333586e-21,5.018096565442897e-18,8.323208189318821e-16,4.2532427717980394e-19,2.8824592727919635e-18,2.2695605176621476e-12,9.798428052576667e-06,1.753537718634574e-20,8.454445485277028e-14,3.950366744768379e-17,2.369566909589562e-21,6.501355162033171e-21,3.0286804235834946e-19,3.5269346416169456e-19,7.936756557077658e-19,2.0389414557787415e-20,3.840663319986268e-20,2.2122050828803787e-06,5.735054510783763e-21,2.772140591058024e-17,2.3578342134113844e-06,4.502830939723679e-12,3.721993794256787e-19,8.666057647775412e-20,8.737373027925318e-22,4.953068052116958e-21,8.110153438727214e-08,1.5675074358750648e-17,1.8962629674298786e-22,1.3687636469948733e-21,6.958588422543422e-23,1.7575700787030623e-18,1.6447694481002472e-12,6.974467325989816e-21,1.2217803943301299e-19,1.421361549348923e-11,9.794728803395327e-21,2.7964220517254942e-21,4.997954218615731e-22,4.359561883856593e-15,0.13433925952097037,6.202612726316978e-16,4.9763091947763735e-22,5.113112214067452e-21,7.840846062768331e-14,1.484762972724641e-20,0.0030974400289405317,1.5647450478036698e-11,4.173854324592229e-12,0.10414462250041007,8.499142558887802e-21,1.1092928120686402e-17,0.07666538670275069,7.262359119608227e-18,1.9422424883420547e-23,6.058675627069565e-21,4.28423331848776e-05,3.706145051118547e-20,1.8149761537789378e-20
400.0,0.04599612634368455,4.642786668707677e-08,1.5906172824789354e-18,1.9417995469081206e-15,3.542057086989909e-10,2.764248312675019e-14,5.109193202567966e-18,3.37830141888695e-21,1.8768000704906899e-07,2.6246456037927118e-24,1.2598104249082685e-17,6.8602927232457205e-18,4.1617381087949883e-19,4.6102531145085764e-17,8.647695479443331e-26,0.00020563827890599388,1.7983468962896487e-24,0.0001915587085590649,6.874596721917274e-25,0.008632463134985844,9.134253176379507e-16,8.583457531337061e-17,7.90520457728995e-11,3.943245196088662e-18,2.66992098409394e-22,9.385071412663595e-09,0.0014817416344590298,6.072750822387199e-26,7.275912452769926e-15,2.1435275406563887e-11,1.1088466567606312e-25,2.273963309800097e-14,1.023874426936822e-13,0.00027308673217443433,4.5658637897531296e-17,1.656931960090702e-19,1.0637507121630507e-20,4.263129844965641e-25,4.408455435551521e-14,1.5816102694246885e-24,1.24698430074957e-14,6.443445130794367e-23,2.180319090247518e-25,3.19466874907619e-22,1.1295404455800665e-14,2.700987806194672e-23,1.8426913712118492e-22,9.229123058664022e-16,0.005785422330251855,4.029792801041551e-24,3.135460140606193e-16,7.221127154995696e-20,1.5046834019448332e-25,3.7151349905742704e-16,2.9825243515302114e-22,2.2500655514424576e-23,5.03986859604412e-23,1.2947352422671967e-24,2.3540981730463167e-20,7.55930007708311e-10,3.6417804371454947e-25,2.843178976543363e-20,1.3423057131419975e-08,1.1545177722249715e-14,7.249610131417523e-23,5.502977378170576e-24,5.548917571971513e-26,5.0048186561292625e-15,0.8907940695440693,1.5474362974547981e-15,1.2041337176530362e-26,8.711877275788517e-26,4.905826226022915e-25,1.1160632408347586e-22,1.0444602854469778e-16,4.428811520541869e-25,7.758348891586231e-24,1.2511937926368673e-13,6.223010040731905e-25,1.7757412495477422e-25,5.9588617775953074e-24,2.666602661370381e-18,0.00015804983558221017,1.1598399138336326e-08,3.1599740112201796e-26,3.2468447920085207e-25,1.8125676006546526e-13,9.42830090614866e-25,1.2021190123531956e-06,9.706751325909587e-15,2.650450992831266e-16,0.00013391832742753782,5.427138165068898e-25,7.044062159258769e-22,0.00010251560996663306,4.629419977943281e-20,1.2374360441171403e-27,3.8472810164029734e-25,0.09224006401901433,2.3534166357126484e-24,1.1525171337462322e-24
500.0,0.1997551232963488,5.984112394703542e-14,1.0785351788286326e-24,5.5359449592072533e-17,5.47899675078248e-16,4.072783266211805e-16,8.3230033473068e-20,1.2382969020203985e-24,0.2927479316057784,1.7790462244164366e-30,1.78260160742658e-18,5.11593854489655e-24,2.449763020849367e-18,3.1273109560450766e-23,5.861610405365122e-32,2.5477960707791665e-06,1.2189616187117845e-30,3.511715250912832e-09,4.659762566073366e-31,0.11484970149538719,6.197018375303486e-22,1.7487709841453569e-09,1.524092782247294e-13,2.891136925284994e-24,1.455952390421716e-27,9.553948324715333e-15,0.05590960736095432,4.116252647232164e-32,7.811304032861439e-18,2.6390853166915042e-17,7.51602217931392e-32,1.5428265134493423e-20,3.981309668908799e-14,0.00497221919559435,9.178988597262232e-17,1.2074700914660483e-25,3.8352941731821114e-16,1.318267738810481e-30,3.1988606583500025e-20,1.7604119101137685e-28,8.452408998968754e-21,4.368450434343217e-29,1.4778716213715134e-31,1.5217905294382315e-27,7.441529677537273e-15,1.830792856022826e-29,1.2371254382865782e-23,6.263733227003299e-22,0.04140204927988429,2.735547270609895e-30,2.261878758802415e-22,6.338244299395408e-23,1.0199096287117667e-31,7.207314384494195e-15,2.0298866462990106e-28,1.5296488930197762e-29,3.416140898401493e-29,8.77602021142925e-31,1.3396136119284697e-18,1.1435864927243047e-05,2.468484389954239e-31,1.9303083829985734e-26,2.887448331728432e-12,7.844545837795462e-21,4.918504212413679e-29,3.7300468705324896e-30,3.7611863671714336e-32,1.2179602453694213e-16,0.1859740038072317,5.480503187953253e-15,8.16190017980095e-33,5.914446241181864e-32,6.116605157957684e-27,7.564937874005877e-29,7.08036391549442e-23,3.0019522310427055e-31,5.2587904719226906e-30,1.4047648116940871e-09,5.163330415628592e-30,1.203638984850878e-31,1.416599585218987e-27,1.8093945801409937e-24,2.0355831129771035e-10,1.527032981365581e-09,2.1419043476823842e-32,2.200787702866651e-31,1.4865250241718095e-16,6.390723035018312e-31,8.155616197565543e-13,6.588906840960278e-21,1.796537914077776e-22,8.19467251376106e-05,3.7533527436716927e-25,1.384426319469257e-27,6.959662260070525e-11,5.455696505223025e-24,8.405706904402991e-34,2.607777540387523e-31,0.30404854839960904,1.5952008804249446e-30,7.812030893618678e-31
600.0,0.16327426937855605,1.2186054866313292e-20,2.069371689513886e-31,7.704114572662397e-16,1.1454568376755538e-22,1.1414506049305306e-22,3.0315027462475088e-21,2.9411601872151614e-31,0.2655663110662299,3.3604353327939917e-37,4.999529953433064e-25,9.673230221591742e-31,7.749233861847654e-25,5.907168736013359e-30,1.107197915540928e-38,7.189425944468576e-06,2.302493120536923e-37,0.0020746540746746007,8.801812203946585e-38,0.23775086200578854,1.1708044459484357e-28,7.830962591351257e-10,3.37864588521985e-20,5.494731748570717e-31,5.1332282823014994e-24,1.9047027076965187e-21,0.0012806431913049627,7.775177870374904e-39,1.8782342703488323e-24,5.333533922072939e-24,1.419699283063728e-38,2.9142405980115397e-27,7.92004265798555e-05,0.0009497704737381925,2.250774526305886e-23,2.282524658394204e-32,1.0614997757932326e-13,2.0427576046401798e-29,6.04816310290764e-27,4.010280076096142e-35,1.596573122024818e-27,8.279321155261764e-36,2.8146269081732847e-38,2.933574233893278e-26,3.766891273562065e-16,3.458179397457748e-36,6.067952134771995e-19,1.1923064394420969e-28,1.441284588003016e-08,5.241180904395104e-37,4.2755738574347565e-29,1.5286040933733175e-16,1.9269082715222307e-38,1.1949962124758442e-17,3.8768769217410296e-35,2.8907118031793403e-36,6.452738787351476e-36,1.668617927651033e-37,4.522173545070248e-25,0.0004110167770453551,4.715370387399927e-38,3.6912475437569e-33,6.50466789651731e-19,1.4911228555924978e-27,9.290548567327551e-36,7.047025129182316e-37,7.10449418794819e-39,4.668370488586545e-17,0.2318889081790343,1.273995760604689e-15,1.5416989941292997e-39,1.1174611624275611e-38,2.4010793594814874e-21,1.4289389546652068e-35,1.3398800667741978e-29,5.670381327138938e-38,9.933314304631976e-37,3.643177147825303e-08,7.720585098963327e-24,2.273550241194873e-38,3.332081392728431e-34,3.4177602582358846e-31,4.132706737905648e-17,0.0017723353746463258,4.0458370055989434e-39,4.200741204413204e-38,3.562371111267491e-23,1.2071418490548643e-37,1.5503728076803005e-19,1.2445767323617252e-27,3.3934753354855377e-29,2.145285685276708e-06,9.655616378351122e-27,1.1615484626115065e-28,1.3148757495129316e-17,1.2035078709899049e-30,1.5883408055335125e-40,4.956365971456936e-38,0.2582169120915057,3.0131703875422207e-37,1.4756122845763903e-37
700.0,0.11970639557719509,1.5137809711736193e-19,7.224888365614989e-25,6.619965302357001e-15,7.14628482201471e-25,4.999260256116951e-27,2.2730329962021243e-24,7.702567272357641e-37,0.003810588544579917,8.800160746347994e-43,1.3514052135247102e-30,2.533366013523627e-36,2.1149714018008852e-30,1.546943454778443e-35,2.899481367695437e-44,0.22316647629455835,6.029668055310701e-43,0.0032971047879689166,2.3049799976212164e-43,0.002457310848750353,9.963600657339106e-30,2.5565735849770917e-11,8.847850237754181e-26,8.628803847391937e-32,9.560601386964227e-19,1.743021376804342e-18,5.920261733837798e-06,2.0361294985514014e-44,5.0471972566207206e-30,1.1568979990040397e-24,3.717846250615032e-44,7.631685533766778e-33,0.035832077082704375,0.0005698451193339349,2.7038976221816104e-25,5.977721818667082e-38,1.4180838724146765e-14,2.619110338810799e-31,1.7371801752632084e-29,1.6981133460217536e-40,4.181035706955055e-33,2.3920769400051998e-39,1.1116906268436928e-36,1.3444479423258263e-18,1.3217776778022103e-18,9.056128618322286e-42,2.7743422714715745e-18,2.21210993176064e-33,4.1133019705535317e-14,1.9141222911943238e-41,1.1197199583567907e-34,3.685211662179918e-13,2.1694843726449022e-39,6.656841463737461e-21,2.284353178638623e-39,1.0652324045216453e-41,1.6898149483410626e-41,2.314765312827189e-37,1.2438862128148807e-30,0.12872113523113818,4.759333598426952e-37,8.617427301879931e-38,6.144201798430983e-22,1.937212367284535e-32,2.4329681341095323e-41,3.1741815764737113e-38,1.8604937957115777e-44,7.375259750845646e-19,0.0036138287025060255,1.0757972973218367e-17,4.0373337461504495e-45,4.2202161370896504e-44,3.0592377778030704e-21,3.7420426975803343e-41,4.004257879757225e-33,1.4849575683690312e-43,2.601292807860088e-42,1.6932703144667938e-08,1.1752398896142764e-12,5.95387371158801e-44,8.725909190429329e-40,8.950280748303334e-37,1.1356259438967157e-22,0.5942922731855933,1.0595060603051971e-44,1.4846133529244496e-37,2.3792632083480323e-25,3.161210159784312e-43,1.5638307384243885e-18,3.259242991335226e-33,8.88668445710294e-35,2.941525688369347e-09,1.0959859191570278e-29,3.614229034622846e-24,3.5619971003042505e-19,3.1516938159279444e-36,2.994480921004481e-42,3.112025392039876e-37,0.004233420039732573,7.890758529925495e-43,3.864268768129701e-43
800.0,0.10970345911444368,2.7524902833770226e-16,1.1835158531617722e-18,8.15564825371503e-10,5.653623595642589e-26,5.285141471927462e-22,1.261763955661294e-28,4.22075301726323e-41,2.1798719118277543e-07,4.822229607203526e-47,7.405538572702956e-35,1.388201109062377e-40,1.1589924711585459e-34,8.476740140820266e-40,1.5888202003236393e-48,0.29634778204337725,3.304059310144218e-47,0.2905412395629577,1.2630592337220184e-47,1.3748301983439448e-07,1.7437576292577283e-33,5.160816141278428e-12,4.848361212560472e-30,6.177340144595994e-33,2.530071956719903e-19,1.8588479209485603e-14,3.5509291071974526e-10,1.1157318468720597e-48,2.7658431056670966e-34,8.326162428126567e-14,2.0372571873463962e-48,4.1819293814109696e-37,0.011892395198862494,0.002189228175084891,3.791912972769503e-29,3.275594583492285e-42,7.911104926403143e-19,1.4731221484095652e-35,1.6172537967884343e-33,6.4958472550137205e-34,2.2910697283723538e-37,5.5661002778735316e-39,7.449020626634389e-33,2.2505950671497047e-06,7.489213551318358e-23,4.962459923292437e-46,1.595585354545586e-22,1.011085212916615e-29,2.3353207705492084e-18,2.9948782314304237e-37,6.135696328301927e-39,4.86033745353588e-17,4.032410045987635e-43,3.7439326754239406e-25,3.522007448974314e-25,2.01167461787292e-35,9.259628824126804e-46,3.559572987308601e-35,6.816521453073585e-35,0.2217712403821279,7.358852362119462e-35,9.020830997008358e-35,0.00012242522597556327,3.203225820926215e-30,1.3331863281774943e-45,5.312353941394836e-42,1.019489267642955e-48,4.2235786301525786e-23,2.0643765719493774e-07,6.120396505997971e-22,2.212325801471375e-49,5.741392107831395e-40,1.745150583969941e-25,2.050516031808387e-45,6.021707879283667e-33,8.137107971254696e-48,1.4254227001188442e-46,8.687849540921604e-08,1.1641007259814737e-10,3.262552006431187e-48,4.781510563376783e-44,4.904487774055171e-41,6.582621180998249e-27,0.17713254750303595,5.80574393626125e-49,8.209743544040572e-36,2.7982257541131235e-24,1.7322389497977102e-47,2.0910389172027e-16,1.7859577231284278e-37,4.870893391519856e-39,1.635836836707106e-13,6.06619579582918e-34,8.502329165750105e-22,4.072533528531595e-23,1.727024307096416e-40,1.829980013620586e-35,2.62634149719178e-35,2.41234652945621e-07,4.3238755343997615e-47,2.1174918889685005e-47
